year,ethnicity,age_group,count,median_age
2011,"All ethnic minorities, excluding foreign domestic helpers","總計
Total",100.0,
2011,全港人口,< 15,823560,41.7
2011,全港人口,15 - 24,875234,41.7
2011,全港人口,25 - 34,1084120,41.7
2011,全港人口,35 - 44,1135285,41.7
2011,全港人口,45 - 54,1289430,41.7
2011,全港人口,55 - 64,922635,41.7
2011,全港人口,65+,941312,41.7
2011,全港人口,"總計
Total",7071576,41.7
2011,Whole population,< 15,11.6,
2011,Whole population,15 - 24,12.4,
2011,Whole population,25 - 34,15.3,
2011,Whole population,35 - 44,16.1,
2011,Whole population,45 - 54,18.2,
2011,Whole population,55 - 64,13.0,
2011,Whole population,65+,13.3,
2011,Whole population,"總計
Total",100.0,
