year,ethnicity,age_group,count,median_age
2011.0,Japanese,Unnamed: 4,3.0,
2011.0,Japanese,Unnamed: 5,13.7,
2011.0,Japanese,Unnamed: 6,30.9,
2011.0,Japanese,Unnamed: 7,21.4,
2011.0,Japanese,Unnamed: 8,9.9,
2011.0,Japanese,Unnamed: 9,3.9,
2011.0,Japanese,Unnamed: 10,100.0,
2011.0,韓國人,Unnamed: 3,897.0,38.0
2011.0,韓國人,Unnamed: 4,290.0,38.0
2011.0,韓國人,Unnamed: 5,958.0,38.0
2011.0,韓國人,Unnamed: 6,1552.0,38.0
2011.0,韓國人,Unnamed: 7,854.0,38.0
2011.0,韓國人,Unnamed: 8,463.0,38.0
2011.0,韓國人,Unnamed: 9,195.0,38.0
2011.0,韓國人,Unnamed: 10,5209.0,38.0
2011.0,Korean,Unnamed: 3,17.2,
2011.0,Korean,Unnamed: 4,5.6,
2011.0,Korean,Unnamed: 5,18.4,
2011.0,Korean,Unnamed: 6,29.8,
2011.0,Korean,Unnamed: 7,16.4,
2011.0,Korean,Unnamed: 8,8.9,
2011.0,Korean,Unnamed: 9,3.7,
2011.0,Korean,Unnamed: 10,100.0,
2011.0,其他亞洲人,Unnamed: 3,493.0,37.3
2011.0,其他亞洲人,Unnamed: 4,484.0,37.3
2011.0,其他亞洲人,Unnamed: 5,1131.0,37.3
2011.0,其他亞洲人,Unnamed: 6,1044.0,37.3
2011.0,其他亞洲人,Unnamed: 7,835.0,37.3
2011.0,其他亞洲人,Unnamed: 8,378.0,37.3
2011.0,其他亞洲人,Unnamed: 9,328.0,37.3
2011.0,其他亞洲人,Unnamed: 10,4693.0,37.3
2011.0,Other Asian,Unnamed: 3,10.5,
2011.0,Other Asian,Unnamed: 4,10.3,
2011.0,Other Asian,Unnamed: 5,24.1,
2011.0,Other Asian,Unnamed: 6,22.2,
2011.0,Other Asian,Unnamed: 7,17.8,
2011.0,Other Asian,Unnamed: 8,8.1,
2011.0,Other Asian,Unnamed: 9,7.0,
2011.0,Other Asian,Unnamed: 10,100.0,
2011.0,白人,Unnamed: 3,9295.0,38.5
2011.0,白人,Unnamed: 4,4031.0,38.5
2011.0,白人,Unnamed: 5,9512.0,38.5
2011.0,白人,Unnamed: 6,13197.0,38.5
2011.0,白人,Unnamed: 7,10149.0,38.5
2011.0,白人,Unnamed: 8,5855.0,38.5
2011.0,白人,Unnamed: 9,3197.0,38.5
2011.0,白人,Unnamed: 10,55236.0,38.5
2011.0,White,Unnamed: 3,16.8,
2011.0,White,Unnamed: 4,7.3,
2011.0,White,Unnamed: 5,17.2,
2011.0,White,Unnamed: 6,23.9,
2011.0,White,Unnamed: 7,18.4,
2011.0,White,Unnamed: 8,10.6,
2011.0,White,Unnamed: 9,5.8,
2011.0,White,Unnamed: 10,100.0,
2011.0,混血兒,Unnamed: 3,10826.0,21.0
2011.0,混血兒,Unnamed: 4,5007.0,21.0
2011.0,混血兒,Unnamed: 5,4163.0,21.0
2011.0,混血兒,Unnamed: 6,3330.0,21.0
2011.0,混血兒,Unnamed: 7,2898.0,21.0
2011.0,混血兒,Unnamed: 8,1380.0,21.0
