age_group,gender,education_level,count
16-19 years old,Female,Doctorate,2
20-24 years old,Female,Total,1640946
20-24 years old,Female,never attended school,2386
20-24 years old,Female,Preschool education,393
20-24 years old,Female,Elementary School,38083
20-24 years old,Female,Junior high school,440747
20-24 years old,Female,High School,350160
20-24 years old,Female,College (Associate's Degree),491034
20-24 years old,Female,University undergraduate,308665
20-24 years old,Female,Master's,9236
20-24 years old,Female,Doctorate,242
25-29 years old,Female,Total,2943601
25-29 years old,Female,never attended school,4886
25-29 years old,Female,Preschool education,479
25-29 years old,Female,Elementary School,80646
25-29 years old,Female,Junior high school,829449
25-29 years old,Female,High School,544459
25-29 years old,Female,College (Associate's Degree),679870
25-29 years old,Female,University undergraduate,714728
25-29 years old,Female,Master's,85860
25-29 years old,Female,Doctorate,3224
30-34 years old,Female,Total,4221569
30-34 years old,Female,never attended school,10739
30-34 years old,Female,Preschool education,704
30-34 years old,Female,Elementary School,191106
30-34 years old,Female,Junior high school,1547188
30-34 years old,Female,High School,794890
30-34 years old,Female,College (Associate's Degree),771042
30-34 years old,Female,University undergraduate,786017
30-34 years old,Female,Master's,111313
30-34 years old,Female,Doctorate,8570
35-39 years old,Female,Total,3446741
35-39 years old,Female,never attended school,16728
35-39 years old,Female,Preschool education,610
35-39 years old,Female,Elementary School,252032
35-39 years old,Female,Junior high school,1466935
35-39 years old,Female,High School,594431
35-39 years old,Female,College (Associate's Degree),490317
35-39 years old,Female,University undergraduate,540009
35-39 years old,Female,Master's,77158
35-39 years old,Female,Doctorate,8521
40-44 years old,Female,Total,3270849
40-44 years old,Female,never attended school,29915
40-44 years old,Female,Preschool education,918
40-44 years old,Female,Elementary School,446452
40-44 years old,Female,Junior high school,1518794
40-44 years old,Female,High School,551987
40-44 years old,Female,College (Associate's Degree),358395
40-44 years old,Female,University undergraduate,321328
40-44 years old,Female,Master's,36680
40-44 years old,Female,Doctorate,6380
45-49 years old,Female,Total,3826781
45-49 years old,Female,never attended school,59307
